count;name;price;url
412;"Ноутбук Lenovo IDeapad 330; A4-9125, Radeon 530, 4 Гб, Нет, 500 Гб";16 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_ideapad_330_a4_9125_radeon_530_4_gb_net_500_gb_1/
413;"Ноутбук Lenovo S145; A6-9225, Radeon R4 series, 4 Гб, 240 Гб, Нет";16 590;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_s145_a6_9225_radeon_r4_series_4_gb_240_gb_net/
414;"Ноутбук DELL 77QCMC; Core i5-6300U, HD Graphics, 8 Гб, 250 Гб, Нет";16 590;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_77qcmc_core_i5_6300u_hd_graphics_8_gb_250_gb_net/
415;"Ноутбук Acer A315-21-64A8; A6-9220e, Radeon R4 series, 4 Гб, Нет, 500 Гб";16 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_a315_21_64a8_a6_9220e_radeon_r4_series_4_gb_net_500_gb/
416;"Ноутбук Lenovo; Core i3-6006U, Intel HD Graphics 520, 4 Гб, Нет, 500 Гб";16 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_core_i3_6006u_intel_hd_graphics_520_4_gb_net_500_gb/
417;"Ноутбук DELL; Core i3-6006U, Intel HD Graphics 520, 8 Гб, 240 Гб, Нет";16 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i3_6006u_intel_hd_graphics_520_8_gb_240_gb_net/
418;"Ноутбук HP probook 430 g2; Core i5-5200U, Intel HD Graphics 5500, 8 Гб, 240 Гб, Нет";16 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_probook_430_g2_core_i5_5200u_intel_hd_graphics_5500_8_gb_240_gb_net_1/
419;"Ноутбук Acer; Core i3-7020U, Intel HD Graphics 620, 6 Гб, Нет, 1 Tb";16 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_core_i3_7020u_intel_hd_graphics_620_6_gb_net_1_tb/
420;"Ноутбук Lenovo S145-15IPA; AMD 3020e, Radeon Vega 3, 4 Гб, 120 Гб, Нет";16 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_s145_15ipa_amd_3020e_radeon_vega_3_4_gb_120_gb_net/
421;"Ноутбук HP; Core i3-6006U, GeForce GT 520, 4 Гб, Нет, 320 Гб";16 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_core_i3_6006u_geforce_gt_520_4_gb_net_320_gb/
422;"Ноутбук ASUS; Core i3-6006U, GeForce 920MX, 6 Гб, Нет, 1 Tb";16 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_core_i3_6006u_geforce_920mx_6_gb_net_1_tb_1/
423;"Ноутбук ASUS; A6-9225, Radeon R4 series, 8 Гб, 512 GB, Нет";16 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_a6_9225_radeon_r4_series_8_gb_512_gb_net/
